hour,dry_bulb_temp_milli_c,relative_humidity_milli_pct,global_horizontal_milli_wh_m2,direct_normal_milli_wh_m2,diffuse_horizontal_milli_wh_m2,wind_speed_milli_m_s,wind_direction_milli_deg
44,3168,67741,0,0,0,2047,207755
45,2133,68414,0,0,0,2222,207755
46,1168,69041,0,0,0,2450,207755
47,340,69579,0,0,0,2715,207755
48,-265,69972,0,0,0,3000,213548
49,-664,70232,0,0,0,3285,213548
50,-801,70320,0,0,0,3550,213548
51,-664,70232,0,0,0,3778,213548
52,-265,69972,0,0,0,3953,213548
53,371,69559,0,0,0,4063,213548
54,1199,69020,0,0,0,4100,213548
55,2164,68393,71687,51615,20072,4063,213548
56,3199,67720,138489,99712,38777,3953,213548
57,4235,67047,195853,141014,54839,3778,213548
58,5199,66420,239870,172706,67164,3550,213548
59,6028,65882,267540,192629,74911,3285,213548
60,6663,65469,276978,199424,77554,3000,213548
61,7063,65209,267540,192629,74911,2715,213548
62,7199,65120,239870,172706,67164,2450,213548
63,7063,65209,195853,141014,54839,2222,213548
64,6663,65469,138489,99712,38777,2047,213548
65,6028,65882,71687,51615,20072,1937,213548
66,5199,66420,0,0,0,1900,213548
67,4235,67047,0,0,0,1937,213548
68,3199,67720,0,0,0,2047,213548
69,2164,68393,0,0,0,2222,213548
70,1199,69020,0,0,0,2450,213548
71,371,69559,0,0,0,2715,213548
72,-231,69950,0,0,0,3000,197317
73,-631,70210,0,0,0,3285,197317
74,-767,70298,0,0,0,3550,197317
75,-631,70210,0,0,0,3778,197317
76,-231,69950,0,0,0,3953,197317
77,405,69537,0,0,0,4063,197317
78,1233,68998,0,0,0,4100,197317
79,2198,68371,71993,51835,20158,4063,197317
80,3233,67698,139079,100137,38942,3953,197317
81,4268,67026,196688,141615,55073,3778,197317
82,5233,66398,240892,173442,67450,3550,197317
83,6062,65860,268680,193450,75230,3285,197317
84,6697,65447,278158,200274,77884,3000,197317
85,7097,65187,268680,193450,75230,2715,197317
86,7233,65098,240892,173442,67450,2450,197317
87,7097,65187,196688,141615,55073,2222,197317
88,6697,65447,139079,100137,38942,2047,197317
89,6062,65860,71993,51835,20158,1937,197317
90,5233,66398,0,0,0,1900,197317
91,4268,67026,0,0,0,1937,197317
92,3233,67698,0,0,0,2047,197317
93,2198,68371,0,0,0,2222,197317
94,1233,68998,0,0,0,2450,197317
95,405,69537,0,0,0,2715,197317
96,-195,69927,0,0,0,3000,171283
97,-594,70186,0,0,0,3285,171283
98,-731,70275,0,0,0,3550,171283
99,-594,70186,0,0,0,3778,171283
100,-195,69927,0,0,0,3953,171283
101,441,69513,0,0,0,4063,171283
102,1269,68975,0,0,0,4100,171283
103,2234,68348,72322,52072,20250,4063,171283
104,3269,67675,139715,100595,39120,3953,171283
105,4305,67002,197587,142262,55324,3778,171283
106,5269,66375,241993,174235,67758,3550,171283
107,6098,65836,269909,194334,75574,3285,171283
108,6734,65423,279430,201190,78240,3000,171283
109,7133,65163,269909,194334,75574,2715,171283
110,7269,65075,241993,174235,67758,2450,171283
111,7133,65163,197587,142262,55324,2222,171283
112,6734,65423,139715,100595,39120,2047,171283
113,6098,65836,72322,52072,20250,1937,171283
114,5269,66375,0,0,0,1900,171283
115,4305,67002,0,0,0,1937,171283
116,3269,67675,0,0,0,2047,171283
117,2234,68348,0,0,0,2222,171283
118,1269,68975,0,0,0,2450,171283
119,441,69513,0,0,0,2715,171283
120,-156,69901,0,0,0,3000,155052
121,-555,70161,0,0,0,3285,155052
122,-692,70250,0,0,0,3550,155052
123,-555,70161,0,0,0,3778,155052
124,-156,69901,0,0,0,3953,155052
125,480,69488,0,0,0,4063,155052
126,1308,68950,0,0,0,4100,155052
127,2273,68323,72674,52325,20349,4063,155052
128,3308,67650,140396,101085,39311,3953,155052
129,4344,66977,198550,142956,55594,3778,155052
130,5308,66350,243173,175085,68088,3550,155052
131,6137,65811,271224,195281,75943,3285,155052
132,6772,65398,280792,202170,78622,3000,155052
133,7172,65138,271224,195281,75943,2715,155052
134,7308,65050,243173,175085,68088,2450,155052
135,7172,65138,198550,142956,55594,2222,155052
136,6772,65398,140396,101085,39311,2047,155052
137,6137,65811,72674,52325,20349,1937,155052
138,5308,66350,0,0,0,1900,155052
139,4344,66977,0,0,0,1937,155052
140,3308,67650,0,0,0,2047,155052
141,2273,68323,0,0,0,2222,155052
142,1308,68950,0,0,0,2450,155052
143,480,69488,0,0,0,2715,155052
144,-114,69874,0,0,0,3000,160845
145,-514,70134,0,0,0,3285,160845
146,-650,70223,0,0,0,3550,160845
147,-514,70134,0,0,0,3778,160845
148,-114,69874,0,0,0,3953,160845
149,521,69461,0,0,0,4063,160845
150,1350,68923,0,0,0,4100,160845
151,2315,68296,73050,52596,20454,4063,160845
152,3350,67623,141122,101608,39514,3953,160845
153,4385,66950,199577,143695,55881,3778,160845
154,5350,66323,244431,175990,68441,3550,160845
155,6178,65784,272627,196291,76336,3285,160845
156,6814,65371,282244,203216,79028,3000,160845
157,7214,65111,272627,196291,76336,2715,160845
158,7350,65023,244431,175990,68441,2450,160845
159,7214,65111,199577,143695,55881,2222,160845
160,6814,65371,141122,101608,39514,2047,160845
161,6178,65784,73050,52596,20454,1937,160845
162,5350,66323,0,0,0,1900,160845
163,4385,66950,0,0,0,1937,160845
164,3350,67623,0,0,0,2047,160845
165,2315,68296,0,0,0,2222,160845
166,1350,68923,0,0,0,2450,160845
167,521,69461,0,0,0,2715,160845
168,-70,69846,0,0,0,3000,184300
169,-470,70105,0,0,0,3285,184300
170,-606,70194,0,0,0,3550,184300
171,-470,70105,0,0,0,3778,184300
172,-70,69846,0,0,0,3953,184300
173,565,69432,0,0,0,4063,184300
174,1394,68894,0,0,0,4100,184300
175,2359,68267,73449,52883,20566,4063,184300
176,3394,67594,141893,102163,39730,3953,184300
177,4429,66921,200667,144480,56187,3778,184300
178,5394,66294,245766,176951,68814,3550,184300
179,6222,65755,274116,197364,76753,3285,184300
180,6858,65342,283786,204326,79460,3000,184300
181,7258,65083,274116,197364,76753,2715,184300
182,7394,64994,245766,176951,68814,2450,184300
183,7258,65083,200667,144480,56187,2222,184300
184,6858,65342,141893,102163,39730,2047,184300
185,6222,65755,73449,52883,20566,1937,184300
186,5394,66294,0,0,0,1900,184300
187,4429,66921,0,0,0,1937,184300
188,3394,67594,0,0,0,2047,184300
189,2359,68267,0,0,0,2222,184300
190,1394,68894,0,0,0,2450,184300
191,565,69432,0,0,0,2715,184300
192,-24,69815,0,0,0,3000,207755
193,-423,70075,0,0,0,3285,207755
194,-560,70164,0,0,0,3550,207755
195,-423,70075,0,0,0,3778,207755
196,-24,69815,0,0,0,3953,207755
197,612,69402,0,0,0,4063,207755
198,1440,68864,0,0,0,4100,207755
199,2405,68237,73871,53187,20684,4063,207755
200,3440,67564,142709,102750,39958,3953,207755
201,4476,66891,201820,145311,56510,3778,207755
202,5440,66264,247179,177969,69210,3550,207755
203,6269,65725,275692,198498,77194,3285,207755
204,6905,65312,285417,205500,79917,3000,207755
205,7304,65052,275692,198498,77194,2715,207755
206,7440,64964,247179,177969,69210,2450,207755
207,7304,65052,201820,145311,56510,2222,207755
208,6905,65312,142709,102750,39958,2047,207755
209,6269,65725,73871,53187,20684,1937,207755
210,5440,66264,0,0,0,1900,207755
211,4476,66891,0,0,0,1937,207755
212,3440,67564,0,0,0,2047,207755
213,2405,68237,0,0,0,2222,207755
214,1440,68864,0,0,0,2450,207755
215,612,69402,0,0,0,2715,207755
216,26,69783,0,0,0,3000,213548
217,-374,70043,0,0,0,3285,213548
218,-510,70132,0,0,0,3550,213548
219,-374,70043,0,0,0,3778,213548
220,26,69783,0,0,0,3953,213548
221,661,69370,0,0,0,4063,213548
222,1490,68832,0,0,0,4100,213548
223,2454,68205,74317,53508,20809,4063,213548
224,3490,67532,143569,103369,40199,3953,213548
225,4525,66859,203037,146186,56850,3778,213548
226,5490,66232,248668,179041,69627,3550,213548
227,6318,65693,277353,199694,77659,3285,213548
228,6954,65280,287137,206739,80398,3000,213548
229,7353,65020,277353,199694,77659,2715,213548
230,7490,64932,248668,179041,69627,2450,213548
231,7353,65020,203037,146186,56850,2222,213548
232,6954,65280,143569,103369,40199,2047,213548
233,6318,65693,74317,53508,20809,1937,213548
234,5490,66232,0,0,0,1900,213548
235,4525,66859,0,0,0,1937,213548
236,3490,67532,0,0,0,2047,213548
237,2454,68205,0,0,0,2222,213548
238,1490,68832,0,0,0,2450,213548
239,661,69370,0,0,0,2715,213548
240,77,69750,0,0,0,3000,197317
241,-322,70010,0,0,0,3285,197317
242,-459,70098,0,0,0,3550,197317
243,-322,70010,0,0,0,3778,197317
244,77,69750,0,0,0,3953,197317
245,713,69337,0,0,0,4063,197317
246,1541,68798,0,0,0,4100,197317
247,2506,68171,74785,53845,20940,4063,197317
248,3541,67498,144473,104020,40452,3953,197317
249,4577,66825,204315,147107,57208,3778,197317
250,5541,66198,250234,180168,70066,3550,197317
251,6370,65660,279100,200952,78148,3285,197317
252,7005,65246,288945,208041,80905,3000,197317
253,7405,64987,279100,200952,78148,2715,197317
254,7541,64898,250234,180168,70066,2450,197317
255,7405,64987,204315,147107,57208,2222,197317
256,7005,65246,144473,104020,40452,2047,197317
257,6370,65660,74785,53845,20940,1937,197317
258,5541,66198,0,0,0,1900,197317
259,4577,66825,0,0,0,1937,197317
260,3541,67498,0,0,0,2047,197317
261,2506,68171,0,0,0,2222,197317
262,1541,68798,0,0,0,2450,197317
263,713,69337,0,0,0,2715,197317
264,131,69715,0,0,0,3000,171283
265,-268,69974,0,0,0,3285,171283
266,-405,70063,0,0,0,3550,171283
267,-268,69974,0,0,0,3778,171283
268,131,69715,0,0,0,3953,171283
269,767,69301,0,0,0,4063,171283
270,1595,68763,0,0,0,4100,171283
271,2560,68136,75275,54198,21077,4063,171283
272,3595,67463,145421,104703,40718,3953,171283
273,4631,66790,205656,148072,57584,3778,171283
274,5595,66163,251876,181351,70525,3550,171283
275,6424,65624,280931,202270,78661,3285,171283
276,7060,65211,290841,209406,81436,3000,171283
277,7459,64952,280931,202270,78661,2715,171283
278,7595,64863,251876,181351,70525,2450,171283
279,7459,64952,205656,148072,57584,2222,171283
280,7060,65211,145421,104703,40718,2047,171283
281,6424,65624,75275,54198,21077,1937,171283
282,5595,66163,0,0,0,1900,171283
283,4631,66790,0,0,0,1937,171283
284,3595,67463,0,0,0,2047,171283
285,2560,68136,0,0,0,2222,171283
286,1595,68763,0,0,0,2450,171283
287,767,69301,0,0,0,2715,171283
288,188,69678,0,0,0,3000,155052
289,-212,69938,0,0,0,3285,155052
290,-348,70026,0,0,0,3550,155052
291,-212,69938,0,0,0,3778,155052
292,188,69678,0,0,0,3953,155052
293,824,69265,0,0,0,4063,155052
294,1652,68726,0,0,0,4100,155052
295,2617,68099,75789,54568,21221,4063,155052
296,3652,67426,146412,105417,40995,3953,155052
297,4687,66753,207058,149082,57976,3778,155052
298,5652,66126,253593,182587,71006,3550,155052
299,6481,65588,282847,203650,79197,3285,155052
300,7116,65174,292824,210834,81991,3000,155052
301,7516,64915,282847,203650,79197,2715,155052
302,7652,64826,253593,182587,71006,2450,155052
303,7516,64915,207058,149082,57976,2222,155052
304,7116,65174,146412,105417,40995,2047,155052
305,6481,65588,75789,54568,21221,1937,155052
306,5652,66126,0,0,0,1900,155052
307,4687,66753,0,0,0,1937,155052
308,3652,67426,0,0,0,2047,155052
309,2617,68099,0,0,0,2222,155052
310,1652,68726,0,0,0,2450,155052
311,824,69265,0,0,0,2715,155052
312,247,69639,0,0,0,3000,160845
313,-152,69899,0,0,0,3285,160845
314,-289,69988,0,0,0,3550,160845
315,-152,69899,0,0,0,3778,160845
316,247,69639,0,0,0,3953,160845
317,883,69226,0,0,0,4063,160845
318,1711,68688,0,0,0,4100,160845
319,2676,68061,76324,54953,21371,4063,160845
320,3711,67388,147447,106162,41285,3953,160845
321,4747,66715,208522,150136,58386,3778,160845
322,5711,66088,255386,183878,71508,3550,160845
323,6540,65549,284846,205089,79757,3285,160845
324,7175,65136,294894,212324,82570,3000,160845
325,7575,64876,284846,205089,79757,2715,160845
326,7711,64788,255386,183878,71508,2450,160845
327,7575,64876,208522,150136,58386,2222,160845
328,7175,65136,147447,106162,41285,2047,160845
329,6540,65549,76324,54953,21371,1937,160845
330,5711,66088,0,0,0,1900,160845
331,4747,66715,0,0,0,1937,160845
332,3711,67388,0,0,0,2047,160845
333,2676,68061,0,0,0,2222,160845
334,1711,68688,0,0,0,2450,160845
335,883,69226,0,0,0,2715,160845
336,309,69599,0,0,0,3000,184300
337,-91,69859,0,0,0,3285,184300
338,-227,69948,0,0,0,3550,184300
339,-91,69859,0,0,0,3778,184300
340,309,69599,0,0,0,3953,184300
341,944,69186,0,0,0,4063,184300
342,1773,68648,0,0,0,4100,184300
343,2738,68021,76882,55355,21527,4063,184300
344,3773,67348,148525,106938,41587,3953,184300
345,4808,66675,210046,151233,58813,3778,184300
346,5773,66048,257253,185222,72031,3550,184300
347,6601,65509,286928,206588,80340,3285,184300
348,7237,65096,297050,213876,83174,3000,184300
349,7637,64836,286928,206588,80340,2715,184300
350,7773,64748,257253,185222,72031,2450,184300
351,7637,64836,210046,151233,58813,2222,184300
352,7237,65096,148525,106938,41587,2047,184300
353,6601,65509,76882,55355,21527,1937,184300
354,5773,66048,0,0,0,1900,184300
355,4808,66675,0,0,0,1937,184300
356,3773,67348,0,0,0,2047,184300
357,2738,68021,0,0,0,2222,184300
358,1773,68648,0,0,0,2450,184300
359,944,69186,0,0,0,2715,184300
360,373,69558,0,0,0,3000,207755
361,-27,69817,0,0,0,3285,207755
362,-163,69906,0,0,0,3550,207755
363,-27,69817,0,0,0,3778,207755
364,373,69558,0,0,0,3953,207755
365,1008,69145,0,0,0,4063,207755
366,1837,68606,0,0,0,4100,207755
367,2802,67979,77462,55773,21689,4063,207755
368,3837,67306,149645,107745,41901,3953,207755
369,4872,66633,211630,152374,59257,3778,207755
370,5837,66006,259193,186619,72574,3550,207755
371,6665,65468,289093,208147,80946,3285,207755
372,7301,65054,299291,215489,83801,3000,207755
373,7701,64795,289093,208147,80946,2715,207755
374,7837,64706,259193,186619,72574,2450,207755
375,7701,64795,211630,152374,59257,2222,207755
376,7301,65054,149645,107745,41901,2047,207755
377,6665,65468,77462,55773,21689,1937,207755
378,5837,66006,0,0,0,1900,207755
379,4872,66633,0,0,0,1937,207755
380,3837,67306,0,0,0,2047,207755
381,2802,67979,0,0,0,2222,207755
382,1837,68606,0,0,0,2450,207755
383,1008,69145,0,0,0,2715,207755
384,439,69515,0,0,0,3000,213548
385,40,69774,0,0,0,3285,213548
386,-97,69863,0,0,0,3550,213548
387,40,69774,0,0,0,3778,213548
388,439,69515,0,0,0,3953,213548
389,1075,69101,0,0,0,4063,213548
390,1903,68563,0,0,0,4100,213548
391,2868,67936,78064,56206,21858,4063,213548
392,3903,67263,150808,108582,42226,3953,213548
393,4939,66590,213275,153558,59717,3778,213548
394,5903,65963,261207,188069,73138,3550,213548
395,6732,65424,291339,209764,81575,3285,213548
396,7367,65011,301616,217164,84453,3000,213548
397,7767,64751,291339,209764,81575,2715,213548
398,7903,64663,261207,188069,73138,2450,213548
399,7767,64751,213275,153558,59717,2222,213548
400,7367,65011,150808,108582,42226,2047,213548
401,6732,65424,78064,56206,21858,1937,213548
402,5903,65963,0,0,0,1900,213548
403,4939,66590,0,0,0,1937,213548
404,3903,67263,0,0,0,2047,213548
405,2868,67936,0,0,0,2222,213548
406,1903,68563,0,0,0,2450,213548
407,1075,69101,0,0,0,2715,213548
408,508,69470,0,0,0,3000,197317
409,108,69729,0,0,0,3285,197317
410,-28,69818,0,0,0,3550,197317
411,108,69729,0,0,0,3778,197317
412,508,69470,0,0,0,3953,197317
413,1144,69057,0,0,0,4063,197317
414,1972,68518,0,0,0,4100,197317
415,2937,67891,78688,56655,22033,4063,197317
416,3972,67218,152013,109449,42564,3953,197317
417,5007,66545,214979,154785,60194,3778,197317
418,5972,65918,263294,189572,73722,3550,197317
419,6801,65380,293666,211440,82227,3285,197317
420,7436,64966,304026,218899,85127,3000,197317
421,7836,64707,293666,211440,82227,2715,197317
422,7972,64618,263294,189572,73722,2450,197317
423,7836,64707,214979,154785,60194,2222,197317
424,7436,64966,152013,109449,42564,2047,197317
425,6801,65380,78688,56655,22033,1937,197317
426,5972,65918,0,0,0,1900,197317
427,5007,66545,0,0,0,1937,197317
428,3972,67218,0,0,0,2047,197317
429,2937,67891,0,0,0,2222,197317
430,1972,68518,0,0,0,2450,197317
431,1144,69057,0,0,0,2715,197317
432,579,69423,0,0,0,3000,171283
433,180,69683,0,0,0,3285,171283
434,43,69772,0,0,0,3550,171283
435,180,69683,0,0,0,3778,171283
436,579,69423,0,0,0,3953,171283
437,1215,69010,0,0,0,4063,171283
438,2043,68472,0,0,0,4100,171283
439,3008,67845,79333,57120,22213,4063,171283
440,4043,67172,153259,110347,42913,3953,171283
441,5079,66499,216741,156054,60688,3778,171283
442,6043,65872,265453,191126,74327,3550,171283
443,6872,65333,296074,213174,82901,3285,171283
444,7507,64920,306519,220693,85825,3000,171283
445,7907,64660,296074,213174,82901,2715,171283
446,8043,64572,265453,191126,74327,2450,171283
447,7907,64660,216741,156054,60688,2222,171283
448,7507,64920,153259,110347,42913,2047,171283
449,6872,65333,79333,57120,22213,1937,171283
450,6043,65872,0,0,0,1900,171283
451,5079,66499,0,0,0,1937,171283
452,4043,67172,0,0,0,2047,171283
453,3008,67845,0,0,0,2222,171283
454,2043,68472,0,0,0,2450,171283
455,1215,69010,0,0,0,2715,171283
456,653,69376,0,0,0,3000,155052
457,253,69635,0,0,0,3285,155052
458,117,69724,0,0,0,3550,155052
459,253,69635,0,0,0,3778,155052
460,653,69376,0,0,0,3953,155052
461,1289,68962,0,0,0,4063,155052
462,2117,68424,0,0,0,4100,155052
463,3082,67797,79999,57600,22400,4063,155052
464,4117,67124,154547,111274,43273,3953,155052
465,5152,66451,218563,157365,61198,3778,155052
466,6117,65824,267683,192732,74951,3550,155052
467,6945,65285,298562,214965,83597,3285,155052
468,7581,64872,309094,222548,86546,3000,155052
469,7981,64613,298562,214965,83597,2715,155052
470,8117,64524,267683,192732,74951,2450,155052
471,7981,64613,218563,157365,61198,2222,155052
472,7581,64872,154547,111274,43273,2047,155052
473,6945,65285,79999,57600,22400,1937,155052
474,6117,65824,0,0,0,1900,155052
475,5152,66451,0,0,0,1937,155052
476,4117,67124,0,0,0,2047,155052
477,3082,67797,0,0,0,2222,155052
478,2117,68424,0,0,0,2450,155052
479,1289,68962,0,0,0,2715,155052
480,729,69326,0,0,0,3000,160845
481,329,69586,0,0,0,3285,160845
482,193,69675,0,0,0,3550,160845
483,329,69586,0,0,0,3778,160845
484,729,69326,0,0,0,3953,160845
485,1364,68913,0,0,0,4063,160845
486,2193,68375,0,0,0,4100,160845
487,3158,67748,80687,58095,22592,4063,160845
488,4193,67075,155876,112230,43645,3953,160845
489,5228,66402,220441,158718,61724,3778,160845
490,6193,65775,269985,194389,75596,3550,160845
491,7021,65236,301129,216813,84316,3285,160845
492,7657,64823,311751,224461,87290,3000,160845
493,8057,64563,301129,216813,84316,2715,160845
494,8193,64475,269985,194389,75596,2450,160845
495,8057,64563,220441,158718,61724,2222,160845
496,7657,64823,155876,112230,43645,2047,160845
497,7021,65236,80687,58095,22592,1937,160845
498,6193,65775,0,0,0,1900,160845
499,5228,66402,0,0,0,1937,160845
500,4193,67075,0,0,0,2047,160845
501,3158,67748,0,0,0,2222,160845
502,2193,68375,0,0,0,2450,160845
503,1364,68913,0,0,0,2715,160845
504,807,69275,0,0,0,3000,184300
505,407,69535,0,0,0,3285,184300
506,271,69624,0,0,0,3550,184300
507,407,69535,0,0,0,3778,184300
508,807,69275,0,0,0,3953,184300
509,1443,68862,0,0,0,4063,184300
510,2271,68324,0,0,0,4100,184300
511,3236,67697,81396,58605,22791,4063,184300
512,4271,67024,157245,113216,44029,3953,184300
513,5306,66351,222378,160112,62266,3778,184300
514,6271,65724,272356,196096,76260,3550,184300
515,7100,65185,303773,218717,85057,3285,184300
516,7735,64772,314489,226432,88057,3000,184300
517,8135,64512,303773,218717,85057,2715,184300
518,8271,64424,272356,196096,76260,2450,184300
519,8135,64512,222378,160112,62266,2222,184300
520,7735,64772,157245,113216,44029,2047,184300
521,7100,65185,81396,58605,22791,1937,184300
522,6271,65724,0,0,0,1900,184300
523,5306,66351,0,0,0,1937,184300
524,4271,67024,0,0,0,2047,184300
525,3236,67697,0,0,0,2222,184300
526,2271,68324,0,0,0,2450,184300
527,1443,68862,0,0,0,2715,184300
528,888,69223,0,0,0,3000,207755
529,488,69483,0,0,0,3285,207755
530,352,69571,0,0,0,3550,207755
531,488,69483,0,0,0,3778,207755
532,888,69223,0,0,0,3953,207755
533,1523,68810,0,0,0,4063,207755
534,2352,68271,0,0,0,4100,207755
535,3316,67644,82125,59130,22995,4063,207755
536,4352,66971,158654,114231,44423,3953,207755
537,5387,66299,224370,161547,62824,3778,207755
538,6352,65671,274796,197853,76943,3550,207755
539,7180,65133,306496,220677,85819,3285,207755
540,7816,64720,317308,228461,88846,3000,207755
541,8215,64460,306496,220677,85819,2715,207755
542,8352,64371,274796,197853,76943,2450,207755
543,8215,64460,224370,161547,62824,2222,207755
544,7816,64720,158654,114231,44423,2047,207755
545,7180,65133,82125,59130,22995,1937,207755
546,6352,65671,0,0,0,1900,207755
547,5387,66299,0,0,0,1937,207755
548,4352,66971,0,0,0,2047,207755
549,3316,67644,0,0,0,2222,207755
550,2352,68271,0,0,0,2450,207755
551,1523,68810,0,0,0,2715,207755
552,970,69169,0,0,0,3000,213548
553,571,69429,0,0,0,3285,213548
554,434,69518,0,0,0,3550,213548
555,571,69429,0,0,0,3778,213548
556,970,69169,0,0,0,3953,213548
557,1606,68756,0,0,0,4063,213548
558,2434,68218,0,0,0,4100,213548
559,3399,67591,82875,59670,23205,4063,213548
560,4434,66918,160103,115274,44829,3953,213548
561,5470,66245,226419,163022,63397,3778,213548
562,6434,65618,277306,199660,77646,3550,213548
563,7263,65079,309294,222692,86602,3285,213548
564,7899,64666,320205,230548,89657,3000,213548
565,8298,64406,309294,222692,86602,2715,213548
566,8434,64318,277306,199660,77646,2450,213548
567,8298,64406,226419,163022,63397,2222,213548
568,7899,64666,160103,115274,44829,2047,213548
569,7263,65079,82875,59670,23205,1937,213548
570,6434,65618,0,0,0,1900,213548
571,5470,66245,0,0,0,1937,213548
572,4434,66918,0,0,0,2047,213548
573,3399,67591,0,0,0,2222,213548
574,2434,68218,0,0,0,2450,213548
575,1606,68756,0,0,0,2715,213548
576,1055,69114,0,0,0,3000,197317
577,656,69374,0,0,0,3285,197317
578,519,69462,0,0,0,3550,197317
579,656,69374,0,0,0,3778,197317
580,1055,69114,0,0,0,3953,197317
581,1691,68701,0,0,0,4063,197317
582,2519,68162,0,0,0,4100,197317
583,3484,67535,83645,60225,23421,4063,197317
584,4519,66862,161591,116345,45245,3953,197317
585,5555,66189,228524,164537,63987,3778,197317
586,6519,65562,279883,201516,78367,3550,197317
587,7348,65024,312169,224762,87407,3285,197317
588,7984,64611,323181,232691,90491,3000,197317
589,8383,64351,312169,224762,87407,2715,197317
590,8519,64262,279883,201516,78367,2450,197317
591,8383,64351,228524,164537,63987,2222,197317
592,7984,64611,161591,116345,45245,2047,197317
593,7348,65024,83645,60225,23421,1937,197317
594,6519,65562,0,0,0,1900,197317
595,5555,66189,0,0,0,1937,197317
596,4519,66862,0,0,0,2047,197317
597,3484,67535,0,0,0,2222,197317
598,2519,68162,0,0,0,2450,197317
599,1691,68701,0,0,0,2715,197317
600,1143,69057,0,0,0,3000,171283
601,743,69317,0,0,0,3285,171283
602,607,69406,0,0,0,3550,171283
603,743,69317,0,0,0,3778,171283
604,1143,69057,0,0,0,3953,171283
605,1778,68644,0,0,0,4063,171283
606,2607,68106,0,0,0,4100,171283
607,3571,67479,84436,60794,23642,4063,171283
608,4607,66806,163117,117445,45673,3953,171283
609,5642,66133,230683,166092,64591,3778,171283
610,6607,65506,282528,203420,79108,3550,171283
611,7435,64967,315119,226885,88233,3285,171283
612,8071,64554,326235,234889,91346,3000,171283
613,8470,64294,315119,226885,88233,2715,171283
614,8607,64206,282528,203420,79108,2450,171283
615,8470,64294,230683,166092,64591,2222,171283
616,8071,64554,163117,117445,45673,2047,171283
617,7435,64967,84436,60794,23642,1937,171283
618,6607,65506,0,0,0,1900,171283
619,5642,66133,0,0,0,1937,171283
620,4607,66806,0,0,0,2047,171283
621,3571,67479,0,0,0,2222,171283
622,2607,68106,0,0,0,2450,171283
623,1778,68644,0,0,0,2715,171283
624,1232,68999,0,0,0,3000,155052
625,832,69259,0,0,0,3285,155052
626,696,69348,0,0,0,3550,155052
627,832,69259,0,0,0,3778,155052
628,1232,68999,0,0,0,3953,155052
629,1868,68586,0,0,0,4063,155052
630,2696,68048,0,0,0,4100,155052
631,3661,67420,85246,61377,23869,4063,155052
632,4696,66748,164683,118571,46111,3953,155052
633,5731,66075,232896,167685,65211,3778,155052
634,6696,65448,285239,205372,79867,3550,155052
635,7525,64909,318142,229062,89080,3285,155052
636,8160,64496,329365,237143,92222,3000,155052
637,8560,64236,318142,229062,89080,2715,155052
638,8696,64148,285239,205372,79867,2450,155052
639,8560,64236,232896,167685,65211,2222,155052
640,8160,64496,164683,118571,46111,2047,155052
641,7525,64909,85246,61377,23869,1937,155052
642,6696,65448,0,0,0,1900,155052
643,5731,66075,0,0,0,1937,155052
644,4696,66748,0,0,0,2047,155052
645,3661,67420,0,0,0,2222,155052
646,2696,68048,0,0,0,2450,155052
647,1868,68586,0,0,0,2715,155052
648,1324,68940,0,0,0,3000,160845
